Bug #	HW/SW bug	Security feature bypassed	Finding	Location or code reference	Detection method	Security impact	Adversary profile	Proposed mitigation	CVSSv3.1 score and severity	CVSSv3.1 Details	Exploit code / PoC
Bug 1	HW	AES key confidentiality (write-only key registers)	AES_KEY_SHARE0/1 registers return the real stored key word on MMIO read instead of hardwired 0; raw AES key recoverable by XOR-ing the two shares.	src/aes/rtl/aes_reg_top.sv, read-mux addr_hit[1..16]	Static diff vs upstream v2.1.2; DYNAMICALLY CONFIRMED with a Verilator testbench reproducing the exact patched mux line	Complete disclosure of AES key material to any software/DMA agent with register read access	Local software/firmware with MMIO read access to the AES peripheral; no elevated privilege required	Restore hardwired 0 return for KEY_SHARE0/1 (and DATA_IN) read paths; add SVA that these addresses always read 0	7.1 / High	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N	poc/aes_key_disclosure_and_regwen_bypass/tb.sv -> reg_rdata_next==key_share0_0_q (0xCAFEF00D) confirmed; run.sh (self-contained, no deps)
Bug 2	HW	REGWEN-gated write lock on AES auxiliary control	ctrl_aux_shadowed_gated_we no longer ANDed with ctrl_aux_regwen_qs; CTRL_AUX_SHADOWED (incl. key_touch_forces_reseed) stays writable after firmware clears the REGWEN lock.	src/aes/rtl/aes_reg_top.sv, ctrl_aux_shadowed_gated_we assignment	Static diff vs upstream v2.1.2; DYNAMICALLY CONFIRMED (same testbench as Bug 1)	Attacker/malicious code can re-enable or weaken AES SCA hardening settings after boot-time lockdown	Local software with MMIO write access to the AES peripheral after boot lock was supposed to take effect	Restore AND-gating with ctrl_aux_regwen_qs; add regression test that write is rejected after REGWEN cleared	7.1 / High	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N	poc/aes_key_disclosure_and_regwen_bypass/tb.sv -> with regwen_qs=0, gated_we_buggy=1 vs gated_we_correct=0 confirmed; run.sh
Bug 3	HW	MuBi4 fault-injection-resistant boolean encoding (strict true-check)	mubi4_test_true_strict() rewritten to accept any value whose XOR-delta from MuBi4True (4'h6) is 0 or 1, i.e. accepts the single-bit-flip glitch value 4'h7 as True.	src/caliptra_prim/rtl/caliptra_prim_mubi_pkg.sv, mubi4_test_true_strict()	DYNAMICALLY CONFIRMED: Verilator PoC exhaustively drives all 16 values, shows 4'h7 mismatches spec	Defeats the multibit fault-injection countermeasure used throughout the design (e.g. KMAC/SHA3 done_i gating)	Physical adversary with voltage/clock/EM/laser fault-injection equipment and physical access to the die/package	Restore exact equality check (val==MuBi4True); add CI lint forbidding XOR/inside-range rewrites of mubi4_test_*_strict	6.8 / Medium	CVSS:3.1/AV:P/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N	poc/mubi4_fault_injection/tb.sv -> glitched=MuBi4True^4'h1; mubi4_test_true_strict(glitched)==1 CONFIRMED; run.sh (self-contained)
Bug 4	HW	spi_host register address decoding / read-only STATUS register isolation	control_we rewritten with De Morgan OR of addr_hit[4]|addr_hit[5]; any write to the read-only STATUS register (0x14) also asserts CONTROL's write-enable, corrupting SPIEN/SW_RST/watermarks from the same write data.	src/spi_host/rtl/spi_host_reg_top.sv, control_we assignment	Static diff vs upstream v2.1.2; DYNAMICALLY CONFIRMED with a full AHB-Lite Verilator testbench against the real spi_host_reg_top.sv	Denial of service (SPI host disabled/reset mid-transaction, e.g. during boot SPI-flash reads) and silent corruption of RX/TX watermark thresholds	Local software/firmware issuing a single register write to SPI_HOST_STATUS; no special privilege needed	Restore control_we = addr_hit[4] & reg_we & !reg_error (single-bit qualifier only)	7.7 / High	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H	poc/spi_host_control_we_aliasing/tb.sv -> write STATUS=0x40000000 flips CONTROL from 0x80001122 to 0x40000000 (SPIEN cleared, SW_RST set); run.sh
Bug 5	HW	Key Vault write isolation: only AES may write the OCP-Lock release-key slot	aes_only_to_key_release rule additionally gated on !kv_data0_present (author-labeled BUG 1A); a non-AES engine's KV-forwarded write (kv_data0_present=1) to the release slot silently passes.	src/keyvault/rtl/kv_write_rule_check.sv, release_slot_source_from_raw	Static diff vs upstream v2.1.2; author's own '// BUG 1A' comment; DYNAMICALLY CONFIRMED via differential test (real DUT vs a golden spec model) in Verilator	A non-AES crypto engine can write attacker-influenced data into OCP_LOCK_KEY_RELEASE_KV_SLOT during OCP-Lock provisioning	Local firmware/attacker able to trigger a non-AES engine's KV-forwarded write while ocp_lock_in_progress is asserted	Remove the kv_data0_present qualifier so any non-AES source write to the release slot fails regardless of forwarding path	7.1 / High	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N	poc/kv_write_rule_check_bugs/tb.sv -> HMAC write to release slot with kv_data0_present=1: DUT write_allow=1, golden=0 (SECURITY BYPASS); run.sh
Bug 6	HW	Key Vault region isolation: STD-region destination boundary check	dst_in_std_region upper bound changed to KV_STANDARD_SLOT_HI-1 (author-labeled BUG 1C). Exhaustive differential testing (real DUT vs golden model) shows this makes the RTL OVER-block a legitimate STD-to-STD-boundary write (dst=slot 15) rather than open a confidentiality bypass -- no combination of LOCK-region source + this destination produces a bypass, because rule (c) lock_to_lock independently and correctly blocks that case regardless of this bug.	src/keyvault/rtl/kv_write_rule_check.sv, dst_in_std_region assignment	Static diff vs upstream v2.1.2; author's own '// BUG 1C' comment; DYNAMICALLY VERIFIED via exhaustive differential sweep (10 directed cases incl. dual-source) in Verilator -- reclassified from confidentiality bypass to availability/over-block after dynamic testing contradicted the initial static-read hypothesis	A legitimate STD-source write targeting the STD region's own top slot (KV_STANDARD_SLOT_HI) is incorrectly REJECTED (false-positive rule failure) -- an availability/correctness defect, not a confidentiality leak	N/A for exploitation (no attacker benefit); affects any firmware flow that legitimately writes the boundary STD slot during OCP-Lock provisioning	Restore inclusive upper bound KV_STANDARD_SLOT_HI in dst_in_std_region	4.0 / Medium (availability only; corrected down from initial confidentiality-bypass hypothesis after dynamic testing)	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L	poc/kv_write_rule_check_bugs/tb.sv -> full boundary + dual-source sweep: only mismatch is DUT=0/golden=1 at dst=15 (over-block, not a bypass); run.sh
Bug 7	HW	Key Vault read isolation: only DMA may read the OCP-Lock release-key slot	no_read_key_release rule changed from exact-match (kv_read_dest != DMA-only-onehot) to bitwise overlap; a concurrent non-DMA reader alongside a DMA reader of the same slot is no longer flagged.	src/keyvault/rtl/kv_read_rule_check.sv, dest_selects_dma / eval_no_read_key_release	Static diff vs upstream v2.1.2; DYNAMICALLY CONFIRMED via differential test (real DUT vs golden exact-match model) in Verilator	A non-DMA crypto engine (e.g. HMAC, ECC) can read the OCP-Lock release key concurrently with a DMA read of the same slot, exfiltrating a secret policy restricts to the DMA extraction path only	Local firmware/attacker able to schedule two simultaneous KV read clients (DMA + other engine) targeting the release slot while ocp_lock_in_progress	Restore exact-match check (kv_read_dest == DMA-only one-hot, no other bit may be set)	7.1 / High	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N	poc/kv_read_rule_check_bypass/tb.sv -> concurrent DMA+HMAC and DMA+ECC_SEED reads of release slot: DUT=1, golden=0 (SECURITY BYPASS) x2; run.sh
Bug 8	HW	PCR Vault per-client read isolation	Read mux hardcodes pv_read[0] for every pv_rd_resp[client] instead of pv_read[client]. HOWEVER: dynamic testing also found this source drop separately shrank pv_defines_pkg.sv's PV_NUM_READ from the upstream default of 2 down to 1, and only ONE consumer (sha512.sv) is wired to pv anywhere in the design -- with a single client, pv_read[0]==pv_read[client] trivially, so the hardcoded index has NO observable effect in the shipped configuration. It is a live cross-client leak only if a second PCR read client is ever wired up (upstream's own default topology).	src/pcrvault/rtl/pv.sv, keyvault_readmux; src/pcrvault/rtl/pv_defines_pkg.sv (PV_NUM_READ 2->1)	Static diff vs upstream v2.1.2; DYNAMICALLY VERIFIED both states in Verilator: NUM_READ=1 (shipped) shows no leak, NUM_READ=2 (upstream default) shows the identical code leaking client 0's PCR entry to client 1	No impact in the configuration as currently shipped (single read client). Re-introducing a second PCR read client (matching upstream's own default) would immediately and silently leak one client's PCR entry to another.	N/A currently exploitable; latent defect that would activate for whichever team next re-enables a second PCR consumer without re-auditing this file	Restore per-client indexing pv_read[client] in the read-mux loop regardless of current PV_NUM_READ, so the code is safe if/when a second client returns	N/A (not exploitable in shipped config) / Low if scored as a latent defect	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N (no scorable impact in current build; would be C:H/S:C ~7.1 High if a second read client is added back without fixing the index)	poc/pv_read_mux_client0_hardcode/tb.sv -> NUM_READ=1: correct; NUM_READ=2: client1 receives client0's entry (BUG CONFIRMED, latent); run.sh
Bug 9	HW	SHA-256 digest register availability	DIGEST.hwclr driven by zeroize_reg2 = ZEROIZE | ~debugUnlock_or_scan_mode_switch instead of zeroize_reg = ZEROIZE | debugUnlock_or_scan_mode_switch. Dynamic testing (running an actual hash through the real register interface) shows this is NOT the 'stale secret retained after debug' leak a static read suggests: in normal (debug-locked, D=0) operation, zeroize_reg2 is UNCONDITIONALLY 1 regardless of software's ZEROIZE bit, so SHA256_DIGEST is hardware-cleared every cycle and can never show a result at all -- even though the core's own internal digest_reg computes the correct value. With debug open (D=1) the core is separately held in reset by the still-correct zeroize_reg, so no computation completes there either. Net effect: SHA256_DIGEST read-back is unconditionally non-functional in every reachable state.	src/sha256/rtl/sha256.sv, zeroize_reg/zeroize_reg2 and DIGEST.hwclr assignment	Static diff vs upstream v2.1.2; DYNAMICALLY TESTED end-to-end (real hash op through the real register interface, both debug-locked and debug-open) in Verilator -- reclassified from a confidentiality leak to a permanent availability failure after the static hypothesis did not survive dynamic testing	Complete, permanent denial-of-service of the SHA-256 digest read-back path -- firmware can never retrieve a SHA-256 result via SHA256_DIGEST, which would break any boot-measurement/attestation flow depending on this accelerator	N/A as a confidentiality exploit; relevant as a functional/availability defect discovered by any integration test that reads back a SHA-256 result	Restore DIGEST.hwclr = zeroize_reg (drop the zeroize_reg2 split); add a directed test that reads back a nonzero digest after a normal hash op	6.2 / Medium	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	poc/sha256_digest_hwclr_bypass/tb.sv -> internal digest_reg=0xe3c455e4... (real result) but SHA256_DIGEST reads back 0x0 in both debug-locked and debug-open scenarios; run.sh
Bug 10	HW	SHA-512 digest register availability	Identical construct to Bug 9, duplicated in the SHA-512 core (zeroize_reg2 used for SHA512_DIGEST.hwclr while the core's own internal reset still correctly uses zeroize_reg). Not independently re-simulated end-to-end (sha512.sv pulls in Key-Vault/PCR-Vault ports beyond scope for this pass) but the exact same code pattern is verified byte-for-byte identical via diff, so the same dynamically-confirmed conclusion applies by direct code-structure equivalence.	src/sha512/rtl/sha512.sv, zeroize_reg/zeroize_reg2 and SHA512_DIGEST.hwclr assignment (SHA512_GEN_PCR_HASH_DIGEST.hwclr is unaffected, still uses zeroize_reg correctly)	Static diff vs upstream v2.1.2, confirmed byte-identical in structure to the dynamically-tested Bug 9 pattern	Same as Bug 9: permanent denial-of-service of the SHA-512 digest read-back path in normal operation	N/A as a confidentiality exploit; functional/availability defect	Restore DIGEST.hwclr = zeroize_reg (drop the zeroize_reg2 split)	6.2 / Medium	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	Not separately simulated -- see poc/sha256_digest_hwclr_bypass/ for the dynamically-confirmed identical code pattern; evidence/08_sha512_digest_hwclr_bypass.diff for the byte-identical construct
